run,target,subset,variant,rows,tasks,mse,delta_mse_vs_context,delta_ci_low,delta_ci_high
M11,Z,exact_revisit,context_full,287,16,3.4144680886225633,-0.7336807592891683,-1.5206360837777744,-0.08630554761469805
M11,Z,exact_revisit,context_fixed05,287,16,4.250155178750295,0.10200633083856316,-0.2839117876530325,0.48816927057338333
M11,Z,exact_first_visit,context_k2,293,16,6.438391551285946,0.0,0.0,0.0
M11,Z,exact_first_visit,hidden_only_k2,293,16,6.446117593224786,0.007726041938839953,-0.024640930281382485,0.04175785248047375
M11,Z,exact_first_visit,uniform_k2,293,16,6.446940730885908,0.008549179599962143,-0.15277599875010012,0.21202929144733992
M11,Z,exact_first_visit,context_k4,293,16,6.71878117552711,0.280389624241164,0.10976904203720544,0.48359328163697607
M11,Z,exact_first_visit,context_full,293,16,6.0220448099265615,-0.4163467413593842,-0.7440336482218031,-0.14224072807123764
M11,Z,exact_first_visit,context_fixed05,293,16,6.474093559684876,0.03570200839893015,-0.16163884002784693,0.2269777473058402
M11,Z,task_fallback,context_k2,111,15,11.305743896746174,0.0,0.0,0.0
M11,Z,task_fallback,hidden_only_k2,111,15,11.332081664913506,0.02633776816733236,-0.3115406618946466,0.38932075850013415
M11,Z,task_fallback,uniform_k2,111,15,11.846850078692212,0.5411061819460377,-0.3248078588158975,1.788347739088286
M11,Z,task_fallback,context_k4,111,15,11.305743896746174,0.0,0.0,0.0
M11,Z,task_fallback,context_full,111,15,11.305743896746174,0.0,0.0,0.0
M11,Z,task_fallback,context_fixed05,111,15,11.305743896746174,0.0,0.0,0.0
